iter	Passed	Remaining
401	19350	28784
402	19411	28755
403	19452	28696
404	19494	28640
405	19546	28597
406	19577	28524
407	19646	28507
408	19705	28473
409	19761	28437
410	19821	28405
411	19882	28375
412	19935	28334
413	19991	28296
414	20036	28244
415	20086	28199
416	20137	28154
417	20173	28087
418	20225	28044
419	20275	27998
420	20326	27954
421	20382	27917
422	20422	27857
423	20473	27813
424	20530	27777
425	20574	27722
426	20618	27668
427	20672	27627
428	20726	27587
429	20789	27558
430	20848	27523
431	20880	27454
432	20944	27425
433	21002	27390
434	21054	27347
435	21108	27305
436	21148	27246
437	21191	27190
438	21252	27158
439	21310	27122
440	21361	27077
441	21413	27032
442	21463	26987
443	21506	26931
444	21547	26873
445	21603	26835
446	21645	26777
447	21682	26715
448	21729	26666
449	21782	26623
450	21831	26575
451	21875	26522
452	21918	26466
453	21978	26431
454	22028	26385
455	22087	26350
456	22145	26312
457	22197	26269
458	22255	26231
459	22317	26199
460	22359	26142
461	22390	26074
462	22444	26031
463	22500	25991
464	22542	25935
465	22578	25873
466	22624	25821
467	22681	25783
468	22740	25746
469	22809	25720
470	22862	25678
471	22919	25638
472	22975	25598
473	23035	25563
474	23087	25517
475	23144	25478
476	23199	25436
477	23244	25384
478	23292	25335
479	23348	25294
480	23407	25256
481	23466	25218
482	23521	25177
483	23582	25141
484	23642	25104
485	23703	25069
486	23758	25027
487	23816	24988
488	23858	24932
489	23893	24868
490	23954	24832
491	24008	24788
492	24051	24734
493	24112	24698
494	24170	24658
495	24223	24614
496	24283	24576
497	24344	24540
498	24402	24500
499	24447	24447
500	24494	24396
501	24531	24336
502	24592	24298
503	24636	24245
504	24690	24201
505	24747	24160
506	24799	24114
507	24851	24068
508	24899	24019
509	24951	23973
510	25006	23930
511	25056	23882
512	25114	23841
513	25171	23800
514	25215	23746
515	25245	23680
516	25303	23639
517	25357	23594
518	25391	23532
519	25444	23487
520	25501	23446
521	25544	23390
522	25602	23350
523	25652	23302
524	25707	23258
525	25742	23197
526	25813	23168
527	25870	23126
528	25931	23088
529	25982	23041
530	26040	22999
531	26082	22944
532	26113	22880
533	26166	22834
534	26231	22799
535	26293	22761
536	26349	22718
537	26421	22689
538	26482	22650
539	26539	22607
540	26591	22560
541	26645	22515
542	26705	22475
543	26771	22440
544	26834	22403
545	26875	22346
546	26932	22304
547	26985	22258
548	27030	22205
549	27083	22159
550	27147	22122
551	27190	22067
552	27251	22027
553	27304	21981
554	27370	21945
555	27427	21902
556	27465	21844
557	27518	21797
558	27565	21746
559	27615	21698
560	27674	21655
561	27730	21611
562	27770	21555
563	27822	21508
564	27864	21453
565	27920	21408
566	27980	21367
567	28024	21314
568	28075	21266
569	28125	21217
570	28177	21169
571	28228	21121
572	28288	21080
573	28343	21035
574	28402	20992
575	28454	20945
576	28498	20892
577	28533	20832
578	28582	20783
579	28638	20738
580	28671	20676
581	28724	20630
582	28780	20585
583	28831	20537
584	28875	20484
