iter	Logloss
0	0.6534316025
1	0.6153423607
2	0.5816438141
3	0.5528137841
4	0.5264596898
5	0.5064218245
6	0.481243617
7	0.464915158
8	0.4485650027
9	0.437441281
10	0.4142942562
11	0.3988863087
12	0.3894126495
13	0.3742703369
14	0.3666602908
15	0.34890392
16	0.3440119316
17	0.3315992701
18	0.3202052647
19	0.3143490944
20	0.3077958076
21	0.302975433
22	0.2826042585
23	0.2738308008
24	0.2684211924
25	0.2534676796
26	0.2451599415
27	0.2417750494
28	0.2334730891
29	0.230203567
30	0.2258007792
31	0.2241211928
32	0.220421447
33	0.2181783254
34	0.215896655
35	0.2131505167
36	0.2069581232
37	0.2052669451
38	0.2003432662
39	0.1969781491
40	0.1910998586
41	0.1875994646
42	0.1861151046
43	0.1836505618
44	0.1773134629
45	0.1760789626
46	0.1749857627
47	0.1687166112
48	0.1678092114
49	0.1643350171
50	0.1631822138
51	0.1585518407
52	0.1556139063
53	0.1548630905
54	0.151131482
55	0.15015994
56	0.1486253037
57	0.14748529
58	0.1456771774
59	0.1449293151
60	0.144328346
61	0.1412660617
62	0.1394577709
63	0.1366872257
64	0.13353729
65	0.132808263
66	0.1319281079
67	0.1314052355
68	0.1300774316
69	0.1295901878
70	0.1282426756
71	0.1278568413
72	0.1272358091
73	0.126654447
74	0.1242427612
75	0.1230559126
76	0.1204225183
77	0.119461555
78	0.1176274204
79	0.1171225719
80	0.1142780752
81	0.1134538361
82	0.1130239483
83	0.1126840527
84	0.1103636775
85	0.108582527
86	0.1081793047
87	0.1074160019
88	0.1071329616
89	0.1052765656
90	0.1048267122
91	0.1044162186
92	0.1040291293
93	0.1027078456
94	0.1021851136
95	0.1012685252
96	0.100752099
97	0.100354872
98	0.09997724146
99	0.09935061915
100	0.09876664062
101	0.09813147302
102	0.09774318334
103	0.09708396032
104	0.09685654345
105	0.09594037605
106	0.09548827296
107	0.09517991789
108	0.09366325833
109	0.09243277022
110	0.09212681815
111	0.09127869253
112	0.09023027981
113	0.08860386366
114	0.08764140608
115	0.08728007149
116	0.08496980371
117	0.08476104922
118	0.08392011417
119	0.08297802213
120	0.08237237196
121	0.08188284256
122	0.08169639425
123	0.08150414798
124	0.08058237242
125	0.0803903267
126	0.0790407231
127	0.0774957666
128	0.07613872641
129	0.07508939507
130	0.0743054122
131	0.07373090103
132	0.07345892693
133	0.07325531679
134	0.07282292917
135	0.0717254331
136	0.07111853982
137	0.07041110313
138	0.07028911336
139	0.0700720609
140	0.06965539729
141	0.06947544532
142	0.06926832205
143	0.06905007595
